income,age,credit,default,years_in_business,num_staff,monthly_sales,monthly_expenses,num_orders,order_history
60065.473499726664,48.91192773136605,733.0280420699438,1,1,2,35788.55376468323,38776.95185634704,23,35.54723346756641
44848.65112432173,41.74173221259015,663.2823302753862,0,1,8,52576.20268509448,46548.63380595194,31,52.29075712481623
42224.3263420299,22.28410243069147,688.6856876017018,0,4,9,52040.63229763749,22157.935558839385,9,45.012423512936145
34798.30953127833,55.11103775417784,652.1881625328612,0,10,3,69783.82651212308,36754.458796851286,99,51.449515376514555
51115.20101106608,24.364323779660413,647.1111403277032,1,12,6,53874.99845929029,48069.3072298771,75,50.57663704799362
37987.86347469884,37.82122516067035,744.6575238712951,1,16,8,53567.86664780035,37288.30836962191,57,41.98330352578941
48956.48381257799,32.54965824496823,706.2424074899634,1,6,17,49240.57339572068,55950.50176759612,60,45.50124885177718
41758.76315620155,42.49902754335828,801.2691944999392,0,15,7,59650.65626035378,34860.70226134064,57,47.875548595428356
50472.19852358515,25.13973972825954,698.5542148313721,0,7,2,47803.16680141657,28423.44555556344,19,33.70269144568699
41499.19912300541,29.900465718193423,634.0445804119831,1,8,12,55353.89798159121,29524.33980933314,39,53.91825784126202
32555.151616274114,31.264287770284543,637.3219103364789,0,4,13,59609.347238158225,29077.355335020256,52,41.20485097132874
58703.03373529528,44.416320969654755,670.1908828195262,0,11,18,56779.24064605067,53620.1419944988,83,44.66660532004845
36543.76140724991,32.01593644492137,652.3674845717804,0,2,13,55773.35144029091,41572.99980398444,59,35.26760979608058
54375.74930143802,28.44430585776846,651.5392257834316,1,4,6,55528.71914628058,37646.45037978528,53,54.177018211110386
34704.16914484356,42.534812954484366,625.353098829901,0,12,14,39644.31722113901,51502.53087214535,55,61.394881538005734
62421.49407420126,44.7371866083967,841.1010451374317,0,11,7,53894.27367665388,48794.22483695572,98,43.67552183945624
58867.78892813831,29.849147216653034,677.923424176274,0,8,19,43807.69190685439,45664.69319119554,26,47.80104035261186
52504.58381058237,39.69869425240773,708.6100148991711,1,7,10,39757.30632699227,36007.068862368,69,57.02146225492435
49278.49622388718,21.950362953322532,698.0768394819268,0,4,9,36657.00401756684,33083.12844805948,55,68.5647839965166
40763.775472502806,41.31742732988597,711.1301116625926,1,6,17,48348.75298824792,47332.30837142968,5,50.350522401831796
54302.75622383852,26.466968933056684,760.6562502483196,0,13,7,56844.50982134837,47193.788616326376,66,39.86924744652402
56677.62032030619,49.79147008119217,663.0089730699526,0,18,2,59908.80168294885,33376.21567262045,35,52.15157862924984
37207.67691836736,49.55606462803676,700.4998202619046,0,10,11,56455.535613156375,37369.895711163685,16,49.27747331459808
43902.57608088773,32.85017730655219,724.2152973490046,0,12,11,52813.83481236027,42346.06377585677,75,43.06969825411916
54426.814698798175,25.742147331849306,683.744031035859,0,3,18,57031.77587058821,45314.73899675661,65,61.3308720300722
51485.24889140246,34.5128047451161,699.9411929264749,0,15,6,55971.205247664286,39405.207725131426,34,42.933400356007844
64239.98849673342,38.03499818753956,729.9974756465338,0,7,13,61670.83751003639,47860.77241610542,8,41.6876023528899
48792.23460076681,9.702320684893682,675.280935556775,0,11,12,55823.93017662023,44833.18834439343,52,44.93789061201047
61136.625112060756,45.27079658079293,705.4330025118464,1,6,12,59738.385135274344,29428.63462792593,66,47.26527789481331
60447.70150785397,45.89905407509279,683.9558231322842,1,14,14,49248.20110577412,51059.23090430414,9,37.887193779910476
58668.83437982136,42.930935330419906,723.7672561577242,0,12,18,34277.46521268082,34597.85011682478,43,55.11525640703597
41776.32088342525,29.25741784374975,741.115285416688,0,3,8,45663.79791228217,48942.08282384791,93,47.9168168923392
48141.77997359895,32.77533826808829,670.9574171353405,0,19,10,45661.131598745356,44803.834998870894,99,48.30205225089724
62691.62695155798,33.08050152484261,654.0670555116195,0,15,3,41823.47921980457,40506.92086270826,53,49.8448371194387
68335.81083014072,30.91496489179676,737.8189421980363,0,16,11,50998.0387673582,35074.22128857348,24,42.503453627458086
58672.488582373946,29.146384947560456,720.3391485497222,0,8,6,46698.985337410304,35510.9892745338,18,34.391062511206236
43169.859363000156,37.865354931559125,727.8662641724092,0,7,19,61498.18597503765,37327.02241100973,1,52.81094207256169
40906.66441348791,42.376442917074456,694.5130226573705,1,4,9,51085.25231562016,36119.862281447706,81,37.255894661840344
51256.166368267564,38.37022450040027,728.4858823969532,0,3,4,54767.320149707804,39511.02296016743,23,37.68435746453701
37165.874110994126,18.8813753146771,658.7691541619582,1,8,8,43153.90118463059,32623.17816579484,17,50.38019253525181
55640.20916388324,22.367944964788627,653.1615899649928,0,4,16,39241.276419204296,41994.078765118094,98,49.36656816417124
48527.339510948936,37.73610541926617,584.0778387332173,0,16,14,50614.88372756945,40106.23006766571,79,47.168893859298336
44744.668852581905,37.20176889239754,646.4308148747303,1,18,1,52570.80488888038,51706.869547817725,65,58.765500819620186
44426.66087167779,41.628805861525926,737.6250940841315,0,15,1,48318.02612143091,28854.605086055613,75,36.60204346571996
38205.00258505028,28.126911969689612,776.2337643864552,0,12,11,65463.03453096339,25106.500639990445,11,46.06535692757761
55812.549285635345,30.763392876938667,767.9908702834077,1,16,11,40798.7790339027,35849.04773171595,92,63.71144056625083
38484.420987436635,32.63289807291998,651.376340444138,1,2,10,55997.761230652606,47447.583278255865,63,45.30865676307663
42515.04586798423,26.948588401819155,701.7061577690099,0,5,3,53713.18683879564,41141.634316321084,30,31.630265238066556
65646.04261555195,30.990623697111953,691.7260886120001,0,16,10,63384.72504320161,24473.24689038554,10,37.076822744290936
59383.23149872107,44.11182768886072,617.3904075576726,0,9,7,53742.80888013149,46829.53991967617,3,63.56679156419548
57043.44822047081,33.94320712510396,670.352491652549,0,7,11,41086.24477712847,30630.145329514995,73,39.70815991119581
50800.35664192491,32.62323640538766,707.1844673129895,0,13,9,36024.69376457579,46675.76796246195,4,54.617115078832256
48406.84804808409,46.03282899703494,661.9672271505485,1,5,9,51164.56135746259,40891.013396131464,34,54.65552303910607
55232.91824828678,44.690886370787005,657.1150452655434,0,7,17,61141.2895872602,34483.262574303284,32,42.81643243862378
55517.3437675814,36.27001649903191,768.0972096350665,0,1,6,44148.68888807481,31269.18763604773,52,40.089058282656076
52207.927016148635,30.85457713666145,599.3482540225851,0,6,3,42208.35837064739,55711.34474716679,46,55.562970000225576
50159.49634817635,33.84231380550421,657.2396376002932,1,2,19,46315.98241525097,41284.8260370208,9,53.714900298478895
56030.675190735245,43.39020621359837,712.074299645892,1,8,5,43693.690593188694,48403.26652301886,61,37.44334675044249
49034.132350209475,29.459843934125082,677.062961155036,0,14,16,52073.466192704014,39099.735367203524,96,55.27861988665657
44263.423210870744,45.10780868797552,744.5231115167695,0,1,15,48898.79485202479,44300.78042407251,65,50.23121545434323
38477.61123205883,37.47120786026634,678.0908793409768,0,8,4,47768.13703967013,47563.037784876426,68,32.33847565387029
36931.074506749144,44.64707684889732,648.5681150277726,0,3,1,46171.086210145586,52847.4782413742,5,34.268128673127876
48987.79302527481,31.23768316885435,797.8056968007313,0,4,5,44813.225843193344,49705.95313873181,4,35.85881541624576
64599.406548101295,58.53451733630236,782.9393874217415,0,5,11,40191.04132644519,44636.89330091024,61,51.44314978181527
54356.98700825543,21.602143373543313,622.7347239326396,0,14,10,54222.46776078033,32506.018072454113,40,53.370982260319614
45828.49390483422,31.151791690013603,711.5467768600337,0,8,1,59225.99226574306,25283.16921654426,48,46.86638237169032
48133.95418225441,32.98817899546945,689.1907987470108,0,10,8,47278.29281815277,41616.228569615305,94,43.52739297255999
45336.21221390829,22.47495720060794,769.5430543261338,0,5,15,44634.811824540404,40550.746022427906,20,63.82553466150657
53065.020396469336,45.80885388991415,695.9907716316386,0,7,2,47764.17182512709,26973.04368793797,83,32.319415087370245
36288.70009045336,28.420255828039927,684.2083056501036,0,2,16,47310.53046825906,39794.46569796275,33,56.22062151754959
29123.93499398353,35.3055115022087,673.7297399326458,0,4,10,51408.23534793244,21913.99418354487,17,42.87516188376879
52022.07868441951,45.499416143952125,680.5208923923112,0,2,14,43941.542938203565,39546.20110443454,71,51.69430781504999
41893.670182300746,32.13817515466467,657.8624673266462,1,2,6,51729.841816324166,49226.83734781485,4,42.61717093165538
44277.291348587954,37.20157191133334,748.8036260065979,0,5,15,64761.70438033104,42133.670334454844,2,61.18576622471113
40442.53211406904,41.17214494719902,730.2963685384282,0,1,3,60827.69943467376,35835.18270943998,4,54.89774184466875
39155.72937925874,22.1511183020275,689.4218070047198,0,17,8,41366.03177044917,32515.03127730515,79,47.0693567391224
48170.08705657675,52.0655655386994,588.037614812594,1,19,8,73387.70242497002,39999.94848850359,63,75.06881602535407
40487.51682830743,24.164551581264863,753.899037241772,0,7,16,50679.67926254666,30097.68209397672,14,47.51635379857325
43103.960204661525,42.77120215820978,816.7723405248663,0,14,3,34069.36788795958,36971.39808433655,81,32.71182474798388
52429.532430484884,33.51702926588799,606.5229590918292,0,16,19,48159.254794025306,33994.03331406109,68,57.8151038899196
38526.96877830118,38.139876979823136,709.1474241040553,0,6,15,40866.636286229186,42444.18125882593,52,56.8051808753681
57009.28308493946,36.684703606086494,648.80905865064,0,13,1,48199.93095385325,39339.157014593235,40,29.46907013531865
50421.190234434966,23.523236407275597,713.6769284402552,1,11,13,72625.13574148099,47471.61621391801,31,59.48341803920548
58332.33189761722,44.75575525197185,756.1571186111785,0,9,4,39267.622198195924,51056.74927830981,25,54.65412438314979
32395.652857094177,41.51409543986107,631.8891773569748,0,2,19,46077.032514669256,36600.7640849748,10,54.5633413584501
71101.57068372618,34.216069126345424,697.6539975832433,0,16,15,46681.75639971832,43477.57481828037,38,44.285381003709915
46537.71613242078,27.413760853209862,794.7444902702691,0,7,6,39730.701237157235,38141.0751529538,24,57.88845505653586
44211.52796951238,18.319671114692387,600.0598127716355,0,8,7,44768.944105711096,33227.963362994655,57,52.75112470568767
49388.053215189146,36.78000330284742,690.2464942573589,0,5,1,41237.748599403225,38737.174326348955,28,45.18468074126116
51553.08284917987,45.52368881100019,724.5142176794775,1,14,15,34472.82455111753,56031.13736095206,47,40.93979807680027
60795.87451685523,47.53740622071744,688.5377152940802,0,5,10,64385.38953904149,43270.95591003113,25,53.75755903516302
48046.331222511595,28.4431066411058,662.5190571341587,1,3,1,67046.52978381986,40234.368788229214,39,47.9824485172495
42457.245389505384,43.32421617041948,629.7912892185977,0,9,16,45762.137849592946,40455.356496963184,68,67.16631753582465
53587.337859471045,48.10819892163981,741.5117012010526,0,6,3,51360.11302091105,40083.900462952115,79,54.90571713851673
63595.828982006366,44.43445124167565,728.6695112835524,1,9,1,58118.599703883774,30481.32187701157,51,53.102883556477835
43605.35470788404,41.35154935357998,754.715328164282,0,6,19,35746.34837548136,26461.489597237458,41,51.288761284053244
41349.59285090413,41.36601086321659,732.3104520231446,1,1,12,60443.550295406996,44493.62020403347,98,46.947230692360066
38852.43034850651,50.46632805585113,702.9029674476279,0,2,8,28388.983590810763,32010.204106783,83,59.58320834994168
48962.434210212974,33.81146849694894,655.2805679621548,0,5,15,31684.365250215684,58524.06191486378,4,47.29401988827332
52484.29369858271,32.82030942618657,691.6911649679696,0,8,18,24800.37134949801,30105.38441000517,67,57.03489856877557
56880.56949166814,31.800546986782543,769.8055986305669,0,13,8,60813.98788931996,31669.13686338375,92,48.49470446519973
37266.401804097935,32.31000069739445,659.5053850239242,1,15,14,35114.11807474899,36591.60117661026,78,45.22949196740431
50830.20402793713,59.08897137843818,724.8233989115986,0,15,7,62594.047301798055,19801.26087019683,27,42.423056778364476
54695.688924143964,45.79668191778592,690.8004505938546,0,17,5,53555.00103394975,30230.319573787096,76,61.60918168762607
37621.47624011298,40.09980955378161,649.1875428497139,0,4,2,45466.04537463675,45794.466232295104,33,42.80711083974164
59480.89795934615,34.0052844376942,656.4422212887281,0,16,7,44804.83031557655,36783.847948558934,34,60.44305378934152
64737.271018329935,36.757678339722105,653.0121691322825,1,11,18,59242.0057156791,43972.68747033941,35,56.72765090876079
54850.554049049955,43.214482387146774,702.5438274400717,0,5,1,46385.08983027817,46842.28162735446,13,46.79765886135077
69285.74891778405,41.6871995692258,674.5843220352972,0,4,19,56943.22356100822,36735.562637918185,89,56.20261729492548
45098.40861414894,25.392921995661514,714.8673805436019,0,9,4,53413.21082903203,32146.7891835919,99,42.09921652615895
60394.36665036875,30.740190177421933,734.5033440090232,0,13,11,59044.931561929785,39123.183821516104,31,41.46149718376988
68637.68420383737,45.466018787649965,750.807579108343,0,11,6,53302.77193129305,36575.26997149816,97,51.47121158768814
52589.25001749395,24.707380423108354,679.5435428246882,0,14,13,41916.139091577126,29136.353025396864,38,55.73812795173777
62599.85603561528,2.522008686059408,658.5836081866992,1,2,17,56641.337017360376,45868.981516910135,81,57.74671661272662
41282.036404238665,33.55703393211254,757.478674499024,0,2,10,58709.41202217706,28972.008631412675,37,59.8483205639363
52827.511814230376,46.051182808817465,822.9175125917308,0,13,17,40896.13306438831,29888.86000024223,65,44.97416377793796
51068.40346346883,26.78842888766153,716.2429519555975,0,4,9,47754.02638190741,33424.73058031913,80,54.72607290550573
59367.32266448166,33.41617086687796,692.0000379189953,1,9,7,58525.32456369126,34500.07508780996,42,41.97435922683088
45312.85641659071,19.004800838113304,733.4036197826838,0,19,15,60201.81721244033,35262.76938975273,41,53.57590267246588
61266.362967023466,41.82644933322788,733.1537743816041,0,18,9,30088.012805797276,45417.92344203904,90,51.511457833182824
64775.79791887346,18.629176768973824,762.1225560028781,0,6,12,52509.80128072337,46413.8503438836,79,59.95409583543581
51102.17168728384,47.03243787140873,722.6439466724752,0,1,6,63074.249551010544,47280.53952999326,99,61.0452337956026
41548.28177510171,40.196775758831905,726.1056092116372,0,13,15,56373.83407639459,40198.07962406522,25,57.65867395217611
35146.57441843064,44.77259032730515,660.9679004592922,0,17,7,62175.85788919218,31730.527536473557,12,46.236800511764834
48596.22579264986,44.12930282790227,673.1221134555625,0,2,3,44365.710089055974,29172.274962733074,82,74.97817317082237
51897.318044045714,12.29215898397273,655.2766190377561,0,6,3,52655.50752977988,49534.769354808224,32,42.21427799094819
38479.22331461546,29.840034884041387,730.6877565297798,0,1,6,54425.949258211476,39612.37437582344,72,27.857135274955294
60099.04830396626,22.21188318319548,711.2642804321557,0,6,19,60928.87533107522,63833.01386757314,67,44.169409530998806
61380.636140543116,20.808227445485418,737.8125273783386,0,13,13,41692.11312543659,35462.09696500445,66,59.073754289076255
54364.78126883625,39.45917345258325,699.5628750128151,1,18,12,53922.47627634913,44219.07392636054,10,37.16107884098202
49126.07132354717,33.79757912278128,678.2105977504691,1,1,2,59415.23645331432,33723.85558138845,8,46.34155790746334
46607.474133808166,37.7433511434039,715.3874219907459,0,1,5,56420.20207735576,34807.37751398228,14,57.48141445433916
46816.89813902539,14.628617919788898,695.9692622288052,0,15,12,60391.26057700461,42254.41192917374,31,57.90075219162836
39119.30295654478,29.705498635623997,751.1343839621089,0,19,12,48145.45008040322,42655.511045398714,61,45.80778883835154
47658.30824230627,47.74883416964264,675.8968575688843,0,4,2,43391.198468971605,35809.08655856981,57,30.097039890344483
41811.65688756321,46.827643868991935,684.9588069124769,0,10,18,42142.206651591005,55672.60978737519,23,65.13538702111941
48495.87513036684,26.68539576248842,624.2829177262746,0,2,14,58937.53908843995,40083.996964345075,76,53.7740668573274
56938.4309135757,40.73711409868223,773.6409448631842,0,3,10,38720.05087615726,47706.57961067807,65,57.11240720838019
59493.97372553842,45.378831848534986,704.6631883714878,1,18,5,56913.38283422066,52908.590196881545,5,56.66960294896535
33842.55961797319,23.136352227723822,730.0677326304972,0,15,11,41201.4270338146,47964.94521879012,88,35.71378379455578
53556.97271076589,48.54307356675587,725.9372256028813,0,10,10,51652.10118903394,44937.76628221609,17,57.690815379610015
42053.37659610059,39.428446947391855,769.9478216269214,1,5,7,41907.048049028825,46699.897944223514,88,32.126279062495314
47570.15727285989,52.5061966305244,692.4932648207874,0,18,14,68642.26268870004,44590.59474319678,20,42.91368688485993
44640.93311173383,38.05906685815977,780.3836739523102,1,2,16,59075.989687984795,36754.77611012623,28,37.10824110178421
39202.16443442609,24.68231482412454,584.6643110771154,1,10,1,29213.585205821422,45436.89759464017,56,49.505186692508296
62995.04473859446,35.36811463726622,739.8574964957946,0,6,5,41885.99926905864,23053.09401547547,6,54.74505689394181
57186.59340380069,34.094395235984855,662.1700858271903,0,5,1,45191.44583180149,41329.43460900302,73,56.08607157436514
51841.857912495754,25.547732205242532,668.9130363707401,0,8,18,42514.02938916921,29921.864852247687,42,56.450636086544364
65471.961029619175,30.07627536613573,754.3410493856613,0,11,1,75532.10930454833,39880.24467907132,43,29.89543249204307
60388.21636567867,31.77566249683014,702.3703843372675,1,17,14,39947.99075561567,35009.79018083175,69,28.65854500894452
50740.565940655106,32.44192553272061,729.8154206253439,0,12,4,48366.83998740875,52356.51652485829,15,48.975833192713836
55217.468170054955,22.16004317333826,732.161954221871,0,14,1,60228.59159548701,45331.79157456625,45,56.46019906291008
48723.31424279248,36.37333970099369,729.4397943712518,0,8,2,50434.509732172664,36130.38029912627,7,50.63360219864135
37979.32818878188,50.18486403340208,769.773131739773,0,9,9,56053.12855994778,25690.4502914551,63,40.775987282260914
42341.51670748377,33.8936602522155,702.9673815186205,0,19,11,47646.86657737221,60854.17357396253,59,47.70653358254686
67258.08198793796,43.69416142130714,673.2275668166624,0,6,8,59709.66141527152,31966.170522239332,13,33.880911938414236
57277.22289556489,24.103466160217245,773.1556081845795,0,6,9,50979.781006992576,46136.327963765856,11,45.83638161833999
48205.817312167535,38.52878056997391,669.1729759561649,0,9,10,45387.301608660135,25842.220663290198,37,56.744526906777864
42143.73145778637,39.27105115792182,634.0725391092099,0,11,4,42901.065365069444,36207.11927523756,60,60.1796447883177
49187.488688835714,27.73926232022028,603.4107615619042,0,1,7,45177.22775498422,36807.7562245202,82,41.048090705381256
45187.00726597648,27.082852583548963,698.8729334973111,0,6,18,47131.577145148505,26646.094544485342,38,53.82926158367151
46079.162572252135,46.27650941654505,740.5608396476198,1,9,8,41759.56088642914,61655.22087241311,69,49.43978433762346
62264.72896463739,31.40729869950236,750.857131549149,0,1,9,49517.723722940565,34766.883601676964,11,33.61334407297002
47143.374688595766,30.089664817377788,734.198682316035,0,8,18,45559.87420511511,31470.066204594237,77,50.44249378093004
43937.2535895637,40.313129461386545,615.8612978126639,0,10,10,45426.01023842502,30992.98898008803,83,53.92443776672952
37095.61081515666,44.82891267707559,753.9002080890738,0,13,9,64636.72014652068,43265.92233878352,46,58.55417483100268
60159.08235180395,31.04774566094867,661.0212704115258,0,7,12,44287.46539458757,18826.571188441525,64,46.43516201670887
68417.28783620916,21.626745205012313,709.4662747326972,0,6,3,46225.60071235751,39569.72570928351,43,44.383882712491804
45301.096450828,38.88821884194463,630.5296452804907,0,9,11,54816.10413767785,37071.79433837658,28,53.61385207390478
45042.074510196544,42.20241551881379,673.7807584847722,0,14,1,52085.851029711084,48222.26540627676,64,35.51879282060806
52247.20283443635,37.253493896542146,695.3821083014319,0,1,15,41297.34942338709,47926.85092259163,19,41.37520174325539
43888.226056414635,36.66694360595841,737.4919729972984,0,13,16,51389.33891034175,41482.71825598027,19,25.214325852767644
68329.24277666277,18.56595620159257,767.8154756897907,0,15,6,43302.370327310746,38977.988288492,79,37.699159135932234
40294.66185628461,41.76606276802438,632.0305380994807,0,3,16,28928.934332209403,50656.64047677656,94,74.27601397368343
51833.758369177805,41.41916755657038,645.4195490698328,1,10,11,49365.67589471433,42746.09987663503,37,69.08483961437096
68025.4179706407,35.79137799429557,719.5159402072755,0,5,11,36886.11993534118,43149.75491960721,4,56.28899196543277
76166.60433128878,53.255716757848035,691.7710969292993,0,15,7,54415.04825781317,40564.83144454999,88,45.44496367392014
43340.311932985955,35.30651896514087,684.2692685362483,1,15,15,41803.118438641504,36943.91933305372,44,46.9576328664624
45359.47915184303,39.726869547187775,653.1232388088905,0,15,3,45806.36521444604,51879.31819631835,59,43.95314752655891
56435.434268083896,16.51159308301028,768.2168821597297,0,2,17,57564.05523522431,32916.899225768255,26,64.07316309934353
47228.56496366044,37.56611440827595,618.2009582179659,0,19,1,52868.076216425994,49362.17558688828,66,44.0714347813083
35907.67195226252,30.716802727720673,732.8661473243517,0,5,5,41648.17248531716,37437.672288525995,27,42.583904704643324
28746.10531799895,37.75172057603214,615.2217029124756,0,7,19,65570.4990472154,47637.26219733791,49,59.85514986734149
55573.51673244614,8.52072743839857,700.6244771889535,1,7,17,54119.121347117914,45464.8242651303,59,49.30280464067967
58230.436733865004,30.902278849864054,749.8409922567407,0,19,15,53572.813082239954,43359.29355473051,90,54.34603796498089
41554.573052557644,36.22466491414178,754.0032904834393,0,12,7,49754.31317902169,46502.199931517745,97,46.49336201389848
70836.25946273342,39.99678199900282,665.9586743071687,0,15,2,57574.0682110723,23854.716029929335,42,46.4905306456248
50428.334153225376,53.78930410160294,702.6188086110562,0,7,14,55171.93069182792,40825.22651418125,84,62.05336783972133
64398.92282695547,15.77490910553474,763.2608712840836,0,13,7,45696.43451466661,47696.08469526142,37,52.953379518691555
60775.31627782186,38.151254169901236,712.2367215055333,0,19,7,62039.28730387425,30628.13014811861,88,39.32097077978
46700.254921822445,59.57817030949349,701.5129175798131,0,4,14,35464.76059292012,56157.88542673038,54,47.84795698556959
52419.67605930042,43.338060844044854,753.3986677999467,0,7,4,50607.7627746558,42060.514124613,10,60.7615082822152
47584.591026155846,52.496027528163545,745.3607373252703,0,17,4,80408.94968181902,42843.05204419206,8,69.42704368401634
60983.00983470575,26.754152255403884,716.775311886451,0,18,2,70069.72214223338,30067.130110405113,51,28.740098840930727
38669.07041853851,22.667313573691246,657.3057005153578,0,10,9,39759.93921577821,56268.89658835001,95,61.130144825057975
27391.479383505048,40.004477803228774,687.0594290414303,0,10,14,67821.82285756357,53350.20899560093,89,55.00602500401195
55176.14374256981,41.225441738572975,700.2945313592044,0,16,15,54029.20774412663,33513.27698948626,42,49.177056052379314
51896.68402588467,8.204052366951217,640.3493262016736,0,13,13,40720.97919134603,34881.18199699774,45,49.48320153769271
63266.176964698956,13.732788354741317,639.971203267894,1,7,6,49133.74356394158,38423.32882279007,47,59.94641141411123
35066.598709155776,43.45839506666444,639.6983221784448,1,10,14,49217.33822846688,40455.486556371325,38,69.4924059931241
33377.01669993829,11.570874901841911,668.8262191301455,0,7,3,45930.063514760164,49165.12614696251,97,54.78583843635561
51205.79117661155,43.314793433230626,673.8772312008243,1,12,18,57861.482750767565,26056.278951138615,36,46.84424570908014
57357.05133987722,31.15775250263329,771.5680880295915,1,4,5,55834.230076970416,46059.262125734414,99,49.603174537378884
54390.33659580996,51.74991641651398,735.0081304638588,0,12,16,50145.39586388952,50559.02982538968,49,45.855627710860524
50122.775362543885,35.619955300482964,638.9005735874924,0,8,4,47792.957041030444,38338.46954931648,66,45.87793976496077
66923.86188656196,35.184648358873424,632.8056870414422,1,1,2,52928.23765616511,34492.17060145328,76,36.67835552514168
47022.32888244702,45.04359692091441,692.2830836666778,0,3,16,64535.84180617513,40461.27770849636,28,61.952634841021975
65376.236327756385,32.42619538266091,672.0875830346679,0,14,4,19229.639051783575,40397.871486791846,11,44.56177746769442
70321.01841920707,34.13618708296873,666.815409026063,0,5,6,60537.90901431373,33125.54603244759,99,48.58983584937267
53698.544068034505,32.91725323025516,697.6568289706544,0,2,9,54740.45490071947,30755.142863683977,88,54.504712755658716
50147.830436048636,39.595840936532305,653.67357181107,0,3,15,56574.380392399646,42576.00276161052,10,51.173846728419065
63809.80794440014,41.83458944904771,723.9399335070901,0,10,8,47534.2431849132,42274.74650832094,20,64.36411180329819
55378.649173356775,35.189393635277824,727.3089373694601,0,5,11,57450.63571012702,41910.49017078611,93,41.86880318147138
53598.287794171556,51.49017153422944,747.4755282146974,0,7,10,65311.41641674526,34787.50493921619,95,64.60726550628628
51120.01227166646,35.541533826999185,617.2350719613411,0,9,6,51527.74260638509,35756.23840050534,96,49.301915542495856
58561.98530067137,19.494103842895022,672.3045055443241,0,2,15,59856.144815976586,38858.615623427606,51,53.80704737121564
33076.397313376234,31.611218457021913,807.9327587195731,0,3,2,52514.88420520669,35031.264292124986,52,47.19510505681959
31278.717141595975,37.066842783973335,752.5389735970157,0,8,10,71869.99546571673,37377.94020240815,86,45.517261937054094
54126.74301902591,23.460056889522097,753.689964857565,1,4,11,38303.11349064902,38677.721144023664,25,51.95485939793148
49543.53818962091,31.20032474140652,787.1832942093026,0,15,15,41141.67163197363,47862.45787267355,68,41.08879544556401
41220.74929000092,39.63599719140353,703.0111810787289,0,15,8,49366.86138920447,35703.30942022962,99,62.13872555490294
56076.968515140295,35.542747586875606,740.7318488982797,0,4,7,50898.89079174078,57333.80710155493,48,61.11091081129958
47613.02065310994,35.94966164925362,645.0472771381171,1,18,9,57263.140814239945,53844.09983398029,28,62.25053467186532
24302.33050367707,30.068274220641175,720.6957890287061,0,19,14,50663.06468578285,41318.29769421355,26,28.53691929035488
44089.715313754234,38.69828608972435,628.3301387550821,0,18,3,33182.48506790138,25613.191154848995,33,46.0679264400912
43762.97097680747,40.4250993916234,669.5780153679709,0,12,1,41774.18276714945,28634.867862702005,20,56.50350425234578
66442.87605845541,34.68411500189212,684.6964272050429,0,13,18,62441.10437373423,28614.689898888006,44,50.30727178968854
48674.82440374616,43.021379821032546,694.7831738416709,0,13,1,43018.469903822486,36340.3153121897,95,59.79040032792132
47551.79582601306,19.049142955782276,664.7264690269234,0,3,12,53955.50917203035,33035.7217059322,90,45.339701044183116
57170.72400094551,16.21579662208776,657.8894109541669,0,15,7,31555.035798135643,59309.14207778638,8,56.34734140808361
53141.070627287336,41.00542170701525,637.8977569616627,0,15,16,51582.564258227445,42038.51504652403,32,39.47013277387123
